Machine Module,SSA3021X
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
Sweep Time(s),0.048000,Auto
Start Frequency,+1.155000000e+09
Stop Frequency,+1.655000000e+09
Offset Frequency,+0.000000000e+00
Average Type,Log Pwr
RBW,1000000.000000,Auto
VBW,1000000.000000,Auto
Sweep Type,Continuous
Sweep Mode,Auto
Sweep Rule,Speed
PreAmp State,ON
Ref Level,-4.000000000e+01
Attenuation,1,Manual
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
External Trigger Edge,FALL
Video Trigger Edge,FALL
Marker Information
Marker,Trace,Type,X Axis,Amplitude
Trace Math,0
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A,Trace B,Trace C,Trace D
Trace Type,View,View,View,View
Trace Detector,Pos Peak,Pos Peak,Pos Peak,Pos Peak
Trace Data
1.317667e+09,-8.535784e+01,-8.557529e+01,-7.906467e+01,-7.881159e+01
1.318333e+09,-8.572813e+01,-8.562531e+01,-7.908434e+01,-7.927162e+01
1.319000e+09,-8.530813e+01,-8.535371e+01,-7.874065e+01,-7.876380e+01
1.319667e+09,-8.517124e+01,-8.551916e+01,-7.882368e+01,-7.856482e+01
1.320333e+09,-8.567154e+01,-8.492106e+01,-7.906040e+01,-7.859247e+01
1.321000e+09,-8.528226e+01,-8.514042e+01,-7.926442e+01,-7.859576e+01
1.321667e+09,-8.587757e+01,-8.497974e+01,-7.906657e+01,-7.829081e+01
1.322333e+09,-8.572716e+01,-8.447853e+01,-7.949913e+01,-7.862102e+01
1.323000e+09,-8.613009e+01,-8.395094e+01,-7.937930e+01,-7.829079e+01
1.323667e+09,-8.591625e+01,-8.479354e+01,-7.931541e+01,-7.837956e+01
1.324333e+09,-8.595416e+01,-8.525188e+01,-7.928448e+01,-7.840136e+01
1.325000e+09,-8.579115e+01,-8.537251e+01,-7.934436e+01,-7.835438e+01
1.325667e+09,-8.582931e+01,-8.537394e+01,-7.918510e+01,-7.840046e+01
1.326333e+09,-8.552499e+01,-8.530360e+01,-7.892714e+01,-7.842888e+01
1.327000e+09,-8.544798e+01,-8.492901e+01,-7.892190e+01,-7.820199e+01
1.327667e+09,-8.536259e+01,-8.482445e+01,-7.863584e+01,-7.833092e+01
1.328333e+09,-8.526720e+01,-8.458742e+01,-7.870026e+01,-7.810966e+01
1.329000e+09,-8.524379e+01,-8.472921e+01,-7.866739e+01,-7.760211e+01
1.329667e+09,-8.535669e+01,-8.434420e+01,-7.854033e+01,-7.794325e+01
1.330333e+09,-8.563779e+01,-8.418757e+01,-7.858161e+01,-7.755248e+01
1.331000e+09,-8.555938e+01,-8.409100e+01,-7.864441e+01,-7.777509e+01
1.331667e+09,-8.531798e+01,-8.434213e+01,-7.864765e+01,-7.777605e+01
1.332333e+09,-8.531794e+01,-8.364122e+01,-7.870561e+01,-7.744650e+01
1.333000e+09,-8.536292e+01,-8.448218e+01,-7.815950e+01,-7.742290e+01
1.333667e+09,-8.498058e+01,-8.428880e+01,-7.828536e+01,-7.735884e+01
1.334333e+09,-8.514569e+01,-8.471908e+01,-7.854462e+01,-7.719901e+01
1.335000e+09,-8.529828e+01,-8.466349e+01,-7.816388e+01,-7.737672e+01
1.335667e+09,-8.507574e+01,-8.419290e+01,-7.818556e+01,-7.734833e+01
1.336333e+09,-8.488813e+01,-8.411793e+01,-7.810454e+01,-7.719885e+01
1.337000e+09,-8.497136e+01,-8.385016e+01,-7.812218e+01,-7.752081e+01
1.337667e+09,-8.516772e+01,-8.339617e+01,-7.774740e+01,-7.737657e+01
1.338333e+09,-8.488181e+01,-8.349071e+01,-7.772152e+01,-7.715824e+01
