Machine Module,SSA3021X
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
Sweep Time(s),0.072000,Auto
Start Frequency,+1.030000000e+09
Stop Frequency,+1.780000000e+09
Offset Frequency,+0.000000000e+00
Average Type,Log Pwr
RBW,1000000.000000,Auto
VBW,1000000.000000,Auto
Sweep Type,Continuous
Sweep Mode,Auto
Sweep Rule,Speed
PreAmp State,ON
Ref Level,-4.000000000e+01
Attenuation,2,Manual
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
External Trigger Edge,FALL
Video Trigger Edge,FALL
Marker Information
Marker,Trace,Type,X Axis,Amplitude
Trace Math,0
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A,Trace B,Trace C
Trace Type,View,View,View
Trace Detector,Pos Peak,Pos Peak,Pos Peak
Trace Data
1.179000e+09,-9.966721e+01,-9.480632e+01,-8.259557e+01
1.180000e+09,-9.970231e+01,-9.501435e+01,-8.275505e+01
1.181000e+09,-9.992851e+01,-9.461787e+01,-8.235609e+01
1.182000e+09,-9.974326e+01,-9.489192e+01,-8.265639e+01
1.183000e+09,-9.952800e+01,-9.480924e+01,-8.234830e+01
1.184000e+09,-9.949266e+01,-9.491730e+01,-8.239502e+01
1.185000e+09,-9.976267e+01,-9.503617e+01,-8.250900e+01
1.186000e+09,-9.960454e+01,-9.475308e+01,-8.253277e+01
1.187000e+09,-9.986688e+01,-9.485801e+01,-8.223247e+01
1.188000e+09,-9.984165e+01,-9.490737e+01,-8.225528e+01
1.189000e+09,-9.969252e+01,-9.486288e+01,-8.252590e+01
1.190000e+09,-9.969989e+01,-9.513233e+01,-8.248449e+01
1.191000e+09,-9.970028e+01,-9.471850e+01,-8.247615e+01
1.192000e+09,-9.967198e+01,-9.501582e+01,-8.244133e+01
1.193000e+09,-9.980803e+01,-9.501422e+01,-8.225121e+01
1.194000e+09,-9.984104e+01,-9.499713e+01,-8.236123e+01
1.195000e+09,-9.986608e+01,-9.492407e+01,-8.219499e+01
1.196000e+09,-9.953277e+01,-9.464937e+01,-8.232170e+01
1.197000e+09,-9.981871e+01,-9.481026e+01,-8.190858e+01
1.198000e+09,-9.950733e+01,-9.474446e+01,-8.193265e+01
1.199000e+09,-9.988388e+01,-9.463654e+01,-8.172021e+01
1.200000e+09,-9.956669e+01,-9.453331e+01,-8.182491e+01
1.201000e+09,-9.964474e+01,-9.444919e+01,-8.163640e+01
1.202000e+09,-9.951379e+01,-9.427310e+01,-8.149804e+01
1.203000e+09,-9.966846e+01,-9.429283e+01,-8.166935e+01
1.204000e+09,-9.938865e+01,-9.433861e+01,-8.152172e+01
1.205000e+09,-9.936805e+01,-9.446762e+01,-8.173083e+01
1.206000e+09,-9.951198e+01,-9.424612e+01,-8.114725e+01
1.207000e+09,-9.940649e+01,-9.386990e+01,-8.121799e+01
1.208000e+09,-9.956023e+01,-9.418092e+01,-8.144121e+01
1.209000e+09,-9.970054e+01,-9.417795e+01,-8.127383e+01
1.210000e+09,-9.955065e+01,-9.387333e+01,-8.120654e+01
1.211000e+09,-9.975554e+01,-9.437985e+01,-8.149732e+01
1.212000e+09,-9.941772e+01,-9.427655e+01,-8.136898e+01
1.213000e+09,-9.954324e+01,-9.405580e+01,-8.107114e+01
1.214000e+09,-9.969353e+01,-9.412443e+01,-8.123772e+01
1.215000e+09,-9.968903e+01,-9.408915e+01,-8.122900e+01
1.216000e+09,-9.958392e+01,-9.422770e+01,-8.095079e+01
1.217000e+09,-9.942516e+01,-9.422851e+01,-8.081544e+01
1.218000e+09,-9.964115e+01,-9.421199e+01,-8.091317e+01
1.219000e+09,-9.958592e+01,-9.441284e+01,-8.059047e+01
1.220000e+09,-9.932916e+01,-9.397119e+01,-8.054968e+01
1.221000e+09,-9.981801e+01,-9.398442e+01,-8.069675e+01
1.222000e+09,-9.957228e+01,-9.389229e+01,-8.050233e+01
1.223000e+09,-9.943100e+01,-9.390893e+01,-8.027603e+01
1.224000e+09,-9.951531e+01,-9.397349e+01,-8.010821e+01
1.225000e+09,-9.993473e+01,-9.399866e+01,-8.001407e+01
1.226000e+09,-9.942442e+01,-9.382113e+01,-8.026622e+01
1.227000e+09,-9.952789e+01,-9.388356e+01,-8.017625e+01
1.228000e+09,-9.940694e+01,-9.365265e+01,-8.019898e+01
1.229000e+09,-9.931840e+01,-9.392471e+01,-8.009121e+01
1.230000e+09,-9.923964e+01,-9.362801e+01,-8.022255e+01
1.231000e+09,-9.962533e+01,-9.397953e+01,-7.991861e+01
1.232000e+09,-9.958480e+01,-9.392311e+01,-8.041661e+01
1.233000e+09,-9.941428e+01,-9.376217e+01,-8.050242e+01
1.234000e+09,-9.937647e+01,-9.364334e+01,-8.047403e+01
1.235000e+09,-9.951974e+01,-9.393489e+01,-8.038864e+01
1.236000e+09,-9.950915e+01,-9.362013e+01,-8.048250e+01
