Machine Module,SSA3021X
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
Sweep Time(s),0.258000,Auto
Start Frequency,+1.155000000e+09
Stop Frequency,+1.655000000e+09
Offset Frequency,+0.000000000e+00
Average Type,Log Pwr
RBW,1000000.000000,Manual
VBW,30000.000000,Manual
Sweep Type,Continuous
Sweep Mode,Auto
Sweep Rule,Speed
PreAmp State,ON
Ref Level,-4.000000000e+01
Attenuation,0,Manual
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
External Trigger Edge,FALL
Video Trigger Edge,FALL
Marker Information
Marker,Trace,Type,X Axis,Amplitude
Trace Math,0
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
1.339667e+09,-7.347168e+01,-7.295898e+01
1.340333e+09,-7.341309e+01,-7.295898e+01
1.341000e+09,-7.351562e+01,-7.284668e+01
1.341667e+09,-7.338867e+01,-7.298340e+01
1.342333e+09,-7.340820e+01,-7.305664e+01
1.343000e+09,-7.366699e+01,-7.305176e+01
1.343667e+09,-7.384277e+01,-7.290039e+01
1.344333e+09,-7.308594e+01,-7.284668e+01
1.345000e+09,-7.363770e+01,-7.293945e+01
1.345667e+09,-7.367676e+01,-7.265137e+01
1.346333e+09,-7.348145e+01,-7.260254e+01
1.347000e+09,-7.315430e+01,-7.265625e+01
1.347667e+09,-7.347168e+01,-7.262207e+01
1.348333e+09,-7.318848e+01,-7.233398e+01
1.349000e+09,-7.317383e+01,-7.229492e+01
1.349667e+09,-7.277832e+01,-7.203125e+01
1.350333e+09,-7.281738e+01,-7.175293e+01
1.351000e+09,-7.316895e+01,-7.225098e+01
1.351667e+09,-7.283691e+01,-7.239746e+01
1.352333e+09,-7.309082e+01,-7.230469e+01
1.353000e+09,-7.289551e+01,-7.227051e+01
1.353667e+09,-7.291504e+01,-7.229004e+01
1.354333e+09,-7.284180e+01,-7.234375e+01
1.355000e+09,-7.288574e+01,-7.187500e+01
1.355667e+09,-7.246094e+01,-7.199707e+01
1.356333e+09,-7.260742e+01,-7.191406e+01
1.357000e+09,-7.255371e+01,-7.206543e+01
1.357667e+09,-7.248047e+01,-7.194336e+01
1.358333e+09,-7.246094e+01,-7.183105e+01
1.359000e+09,-7.241211e+01,-7.163574e+01
1.359667e+09,-7.244141e+01,-7.196289e+01
1.360333e+09,-7.243652e+01,-7.172363e+01
1.361000e+09,-7.236816e+01,-7.179688e+01
1.361667e+09,-7.228027e+01,-7.176270e+01
1.362333e+09,-7.243652e+01,-7.196777e+01
1.363000e+09,-7.222168e+01,-7.200195e+01
1.363667e+09,-7.265625e+01,-7.145020e+01
1.364333e+09,-7.244629e+01,-7.196777e+01
1.365000e+09,-7.237305e+01,-7.162598e+01
1.365667e+09,-7.230469e+01,-7.166504e+01
1.366333e+09,-7.223633e+01,-7.195801e+01
1.367000e+09,-7.234863e+01,-7.187988e+01
1.367667e+09,-7.244629e+01,-7.168457e+01
1.368333e+09,-7.235352e+01,-7.145996e+01
1.369000e+09,-7.227539e+01,-7.203613e+01
1.369667e+09,-7.216797e+01,-7.149902e+01
1.370333e+09,-7.254395e+01,-7.190918e+01
1.371000e+09,-7.236328e+01,-7.162109e+01
1.371667e+09,-7.246094e+01,-7.209473e+01
1.372333e+09,-7.243164e+01,-7.182617e+01
