Machine Module,SSA3021X
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
Sweep Time(s),0.258000,Auto
Start Frequency,+1.155000000e+09
Stop Frequency,+1.655000000e+09
Offset Frequency,+0.000000000e+00
Average Type,Log Pwr
RBW,1000000.000000,Manual
VBW,30000.000000,Manual
Sweep Type,Continuous
Sweep Mode,Auto
Sweep Rule,Speed
PreAmp State,ON
Ref Level,-4.000000000e+01
Attenuation,0,Manual
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
External Trigger Edge,FALL
Video Trigger Edge,FALL
Marker Information
Marker,Trace,Type,X Axis,Amplitude
Trace Math,0
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
1.400333e+09,-7.378906e+01,-7.305176e+01
1.401000e+09,-7.393555e+01,-7.284180e+01
1.401667e+09,-7.400391e+01,-7.302246e+01
1.402333e+09,-7.392090e+01,-7.331055e+01
1.403000e+09,-7.375488e+01,-7.324707e+01
1.403667e+09,-7.382812e+01,-7.306641e+01
1.404333e+09,-7.393555e+01,-7.299805e+01
1.405000e+09,-7.366699e+01,-7.329590e+01
1.405667e+09,-7.376465e+01,-7.316406e+01
1.406333e+09,-7.406738e+01,-7.292480e+01
1.407000e+09,-7.384766e+01,-7.332031e+01
1.407667e+09,-7.387695e+01,-7.317383e+01
1.408333e+09,-7.388184e+01,-7.300781e+01
1.409000e+09,-7.342285e+01,-7.304688e+01
1.409667e+09,-7.360840e+01,-7.291504e+01
1.410333e+09,-7.353027e+01,-7.291016e+01
1.411000e+09,-7.360840e+01,-7.274414e+01
1.411667e+09,-7.336914e+01,-7.289062e+01
1.412333e+09,-7.338867e+01,-7.311523e+01
1.413000e+09,-7.330078e+01,-7.236816e+01
1.413667e+09,-7.339355e+01,-7.270996e+01
1.414333e+09,-7.320312e+01,-7.257812e+01
1.415000e+09,-7.288086e+01,-7.255859e+01
1.415667e+09,-7.318848e+01,-7.292480e+01
1.416333e+09,-7.318359e+01,-7.251953e+01
1.417000e+09,-7.333984e+01,-7.267090e+01
1.417667e+09,-7.337891e+01,-7.284668e+01
1.418333e+09,-7.355469e+01,-7.274414e+01
1.419000e+09,-7.347168e+01,-7.307617e+01
1.419667e+09,-7.343750e+01,-7.277832e+01
1.420333e+09,-7.168457e+01,-7.176758e+01
1.421000e+09,-7.238281e+01,-7.207520e+01
1.421667e+09,-7.332520e+01,-7.292969e+01
1.422333e+09,-7.346191e+01,-7.303711e+01
1.423000e+09,-7.396484e+01,-7.302734e+01
1.423667e+09,-7.383789e+01,-7.280273e+01
1.424333e+09,-7.369629e+01,-7.332520e+01
1.425000e+09,-7.373047e+01,-7.329102e+01
1.425667e+09,-7.374512e+01,-7.306152e+01
1.426333e+09,-7.387695e+01,-7.314941e+01
1.427000e+09,-7.364746e+01,-7.326660e+01
1.427667e+09,-7.350586e+01,-7.304688e+01
1.428333e+09,-7.411621e+01,-7.322754e+01
1.429000e+09,-7.394043e+01,-7.353516e+01
1.429667e+09,-7.418945e+01,-7.337891e+01
1.430333e+09,-7.435547e+01,-7.367188e+01
1.431000e+09,-7.421387e+01,-7.407715e+01
1.431667e+09,-7.440430e+01,-7.349121e+01
1.432333e+09,-7.426270e+01,-7.397461e+01
1.433000e+09,-7.446777e+01,-7.346680e+01
1.433667e+09,-7.432617e+01,-7.369141e+01
1.434333e+09,-7.454102e+01,-7.363770e+01
1.435000e+09,-7.433105e+01,-7.353027e+01
1.435667e+09,-7.476074e+01,-7.382324e+01
1.436333e+09,-7.480957e+01,-7.378418e+01
1.437000e+09,-7.459961e+01,-7.388184e+01
1.437667e+09,-7.429199e+01,-7.391602e+01
1.438333e+09,-7.461914e+01,-7.415527e+01
1.439000e+09,-7.484863e+01,-7.402344e+01
1.439667e+09,-7.459473e+01,-7.366699e+01
1.440333e+09,-7.468750e+01,-7.400391e+01
1.441000e+09,-7.459473e+01,-7.416504e+01
1.441667e+09,-7.488770e+01,-7.433594e+01
1.442333e+09,-7.471191e+01,-7.424805e+01
1.443000e+09,-7.478027e+01,-7.477539e+01
1.443667e+09,-7.469727e+01,-7.440918e+01
1.444333e+09,-7.479004e+01,-7.439941e+01
1.445000e+09,-7.480957e+01,-7.432617e+01
1.445667e+09,-7.512695e+01,-7.417480e+01
1.446333e+09,-7.483887e+01,-7.440430e+01
1.447000e+09,-7.461426e+01,-7.425781e+01
1.447667e+09,-7.471191e+01,-7.396484e+01
1.448333e+09,-7.466309e+01,-7.428711e+01
1.449000e+09,-7.490234e+01,-7.423828e+01
1.449667e+09,-7.471191e+01,-7.375000e+01
1.450333e+09,-7.485352e+01,-7.425293e+01
1.451000e+09,-7.466797e+01,-7.410645e+01
1.451667e+09,-7.493652e+01,-7.431641e+01
1.452333e+09,-7.484375e+01,-7.447266e+01
1.453000e+09,-7.492676e+01,-7.461914e+01
1.453667e+09,-7.495117e+01,-7.421387e+01
1.454333e+09,-7.478027e+01,-7.385742e+01
1.455000e+09,-7.491699e+01,-7.419434e+01
1.455667e+09,-7.491211e+01,-7.416016e+01
1.456333e+09,-7.476562e+01,-7.415039e+01
1.457000e+09,-7.470215e+01,-7.440430e+01
1.457667e+09,-7.477539e+01,-7.408691e+01
1.458333e+09,-7.459961e+01,-7.387695e+01
1.459000e+09,-7.442383e+01,-7.398926e+01
1.459667e+09,-7.433105e+01,-7.393555e+01
1.460333e+09,-7.436523e+01,-7.367188e+01
1.461000e+09,-7.444336e+01,-7.369629e+01
1.461667e+09,-7.453125e+01,-7.375977e+01
1.462333e+09,-7.464355e+01,-7.372070e+01
1.463000e+09,-7.461914e+01,-7.376465e+01
1.463667e+09,-7.458496e+01,-7.384277e+01
1.464333e+09,-7.449707e+01,-7.400391e+01
1.465000e+09,-7.462891e+01,-7.429688e+01
1.465667e+09,-7.431152e+01,-7.403809e+01
1.466333e+09,-7.437988e+01,-7.378906e+01
